theta_deg,Br_T,Bt_T
0.0,0.06319849748575423,-0.020737578036018684
0.5,0.04107284810406526,-0.014631588169158223
1.0,0.01750721859108026,-0.011034386504909373
1.5,0.0015917804415050885,-0.003338489559026874
2.0,0.000659999798364974,-0.00022194402241023988
2.5,0.0006433074827220013,-3.9469611988092626e-05
3.0,0.0006154999920782513,-0.0001677921343940189
3.5,-0.00032384404983789217,-0.003872052294548694
4.0,-0.01698475859142561,-0.010261570870577542
4.5,-0.03931037037115133,-0.015333656634900751
5.0,-0.06965111095291442,-0.019931024448543555
5.5,-0.11616986790467737,-0.034036729153538746
6.0,-0.21001270172973258,-0.07440637217978466
6.5,-0.3915378561805365,-0.059231276854904806
7.0,-0.3720443551033348,0.008819616816194717
7.499999999999999,-0.41057272183783844,0.00299726789083867
8.0,-0.4121555281488359,0.003084557596980001
8.5,-0.3938609252995219,0.04254595972164735
9.0,-0.23734214047584565,0.05371252319755553
9.499999999999998,-0.18714491698006697,0.012511502402052685
10.0,-0.19326595269171834,-0.015679795126928863
10.5,-0.24222638571309313,-0.05443350278510151
11.0,-0.38044712338564995,-0.11256857092409032
11.499999999999998,-0.695589956208127,-0.08895058648828125
12.0,-0.7176440270565727,-0.006078664341399315
12.5,-0.719537835050254,-0.00016227671979227346
13.0,-0.7193459110732694,0.004159152571140497
13.5,-0.683289681003884,0.0624410029948296
14.0,-0.3782731829196952,0.12306777559476093
14.500000000000002,-0.2966118032310297,0.026508137786828447
14.999999999999998,-0.2844354409109292,-0.01158999681843429
15.5,-0.34259714818774917,-0.06499749230395738
16.0,-0.5242774477654139,-0.14469592768439626
16.5,-0.9294648693099063,-0.11648393605900943
17.0,-0.9726708191160849,-0.006957320426947994
17.5,-0.9734431885768576,0.000646063606311638
18.0,-0.9728708996670209,0.005350371650218216
18.5,-0.9419372707250003,0.1259819960428333
18.999999999999996,-0.5340251572632717,0.1369058878913189
19.5,-0.3825401226835799,0.05373040151517778
20.0,-0.3479060288710496,-0.011475803117884353
20.499999999999996,-0.40184389233436696,-0.08262921623450219
21.0,-0.5799554219373514,-0.13711812119261904
21.5,-1.0514742778724782,-0.13499187637607243
22.0,-1.094569875193424,-0.00875987434978293
22.5,-1.0946913684127497,-5.2926124944855326e-05
22.999999999999996,-1.0947189862510194,0.0066380146627525605
23.5,-1.0393086972049788,0.13933801836052218
24.0,-0.6027400659264371,0.15999697282388367
24.5,-0.4249719343445011,0.052677939394043645
25.0,-0.3867388068425262,-0.002531295041487278
25.499999999999996,-0.4419741965351181,-0.06672800960972809
26.0,-0.6329037031166603,-0.17683505424842333
26.5,-1.1318892342277749,-0.14296267006438793
27.0,-1.1805287850198078,-0.014066170009787026
27.5,-1.1182030711422088,-0.05767453701343427
28.0,-1.1521633814127121,0.05741728205753295
28.5,-1.1230419432342365,0.14077288939769406
29.000000000000004,-0.6495391531395354,0.17230946676904324
29.499999999999996,-0.444674183002436,0.06210487549790216
29.999999999999996,-0.3923110243803889,0.00016310946940833635
30.5,-0.44818478176282134,-0.07742602402780739
31.0,-0.6448465756327522,-0.183037550374655
31.5,-1.127288319601269,-0.13481145083680424
32.0,-1.1804553070569888,-0.0074428490272852
32.5,-1.183431752432325,0.0003287632553283988
33.0,-1.179814754457582,0.008772032349963129
33.49999999999999,-1.1451383486047009,0.15311461331575776
34.0,-0.6436550918017565,0.16587566969377318
34.5,-0.4170558347337774,0.036156951749330604
35.0,-0.3989501072645438,0.015587313538668301
35.5,-0.444181910060808,-0.05392253899365832
36.0,-0.6462928657770741,-0.1883193076336613
36.5,-1.1287669980217907,-0.1364607452499554
37.0,-1.1784721654587498,-0.007437134388107595
37.5,-1.18113187881193,0.0006842265948883272
37.99999999999999,-1.178905122396747,0.007204885632904946
38.5,-1.1202142413859564,0.13796683054752565
39.0,-0.6416425717945395,0.17664909081248928
39.5,-0.43394155163265025,0.05639981753198334
40.0,-0.3843728864211405,0.00466376615842414
40.5,-0.4328336808789185,-0.059405145807038075
40.99999999999999,-0.6057132191825122,-0.15976914722173158
41.5,-0.938345717951282,-0.14641806439646043
42.0,-1.0955316340423673,0.010822474795891088
42.5,-1.1014386827239764,0.0017165702037856756
43.0,-1.1004840895548162,0.007880346593091968
43.5,-1.0439398263417137,0.13897358713011712
44.0,-0.5943398794723086,0.16606163816757175
44.50000000000001,-0.40899789759145594,0.0704176086517644
45.0,-0.34821667839306736,0.00952027819982748
45.5,-0.38097950096349403,-0.04402757350034596
45.99999999999999,-0.5370744477300697,-0.13642663135281416
46.49999999999999,-0.9286183438779994,-0.11329018998693048
47.0,-0.9740935938939548,-0.006364316639587746
47.5,-0.9766474239167977,-0.0021235819351793075
48.0,-0.972350733512366,-0.006818252710529704
48.5,-0.8425372454025273,0.13326240834082362
49.0,-0.5288162080635078,0.14893651075646783
49.50000000000001,-0.3471556304307314,0.051787117505781535
50.0,-0.2905942918235186,0.012560041184861414
50.5,-0.2998739240656006,-0.03174585630518588
50.99999999999999,-0.40127037352629363,-0.0987461432714292
51.49999999999999,-0.6997656029534024,-0.08843282873787157
52.0,-0.7215980294789754,-0.005007530421631117
52.50000000000001,-0.723222538804433,-1.0372135204634608e-05
53.0,-0.7211690563991701,0.004977289495836014
53.5,-0.6876142594272575,0.09003687439297858
54.0,-0.37951836976662096,0.11924765618136049
54.49999999999999,-0.24007806086079345,0.04483874513411544
55.0,-0.19147774016971322,0.01001062027462827
55.5,-0.1757509883644766,-0.0006692260447781215
56.0,-0.24251858679652763,-0.04825646431194984
56.5,-0.3982273907737345,-0.046644936572892884
57.0,-0.4154930713196695,-0.0027213947474565687
57.5,-0.416266119210825,4.530882525085872e-05
58.00000000000001,-0.41534965240399324,0.002959237224319578
58.5,-0.3960536994962172,0.050027407244710366
58.99999999999999,-0.20980514327839306,0.06902431166437942
59.5,-0.11748071661522455,0.03428297160886008
59.99999999999999,-0.06879769095093069,0.020818770343755476
60.5,-0.03819627360506067,0.015056837211245889
61.0,-0.01567164096921429,0.010375711115959743
61.50000000000001,0.0012546950860605093,0.003771353949341133
62.0,0.0019454918959060294,0.0010256771537039354
62.49999999999999,-0.001288093568181983,0.0012662930840153922
63.0,-0.0019704701832844733,0.00029049058363568526
63.50000000000001,-0.0005694850782595214,0.0037888586485284163
64.0,0.01575551413382656,0.010827296364351119
64.5,0.03961465737464746,0.013304156398706699
65.0,0.0692203242630682,0.018736313359634812
65.50000000000001,0.11380294790392674,0.04099625372656005
66.0,0.21091677853851962,0.07173447127648709
66.5,0.3941259971284482,0.05647241363994355
66.99999999999999,0.4159436167340708,0.0021735366468574402
67.5,0.41620130984855425,0.00016976042205565543
68.0,0.4160263451837075,-0.002586092625292266
68.5,0.39683312779214347,-0.042991460174184856
69.0,0.2376087132709607,-0.03857271443816715
69.5,0.1839647564385159,-0.019295429147805913
70.0,0.18992482675990977,0.010749812696438195
70.49999999999999,0.24340739447450524,0.045265660651294636
71.0,0.38179680396295174,0.11300031146970309
71.5,0.6994716255403214,0.09691310788589114
72.0,0.7218417896121921,0.005137039227401221
72.5,0.723081215871032,0.00019795617202196338
73.0,0.7232628443616405,-0.004941053570856335
73.50000000000001,0.6892257441057655,-0.0873552388705946
74.0,0.4070446688219028,-0.10366114717868444
74.5,0.29935038290039684,-0.03318852663573369
75.0,0.2932862385888998,0.014356541832658443
75.5,0.3533503536152006,0.0635168503803604
75.99999999999999,0.4957971979789114,0.1824211266866704
