theta_deg,Br_T,Bt_T
0.0,0.0780137011253414,-0.03280827175895614
0.5,0.06487245986711311,-0.02752079528428211
1.0,0.030161796744431986,-0.017229332771602067
1.5,0.004164714642506426,-0.00578121723544883
2.0,0.002670313591934048,-0.00033081140215237117
2.5,0.0026057190913230744,-1.636579953389521e-05
3.0,0.002606869723112055,-1.2628399615398386e-05
3.5,0.0026058230334117037,-1.1568465930264262e-05
4.0,0.002604807756981597,-1.0633664863484703e-05
4.5,0.0026074092355306785,-1.0363073138142058e-05
5.0,0.002612470254255423,-1.2624519065244747e-05
5.5,0.002619729371269201,-1.446853687106601e-05
6.0,0.002630816380520554,-1.6683713687633598e-05
6.5,0.0026453018058573336,-1.8064698829055257e-05
7.0,0.002664236785364067,-2.6615751691997745e-05
7.499999999999999,0.002682957086778618,-5.226058290510664e-05
8.0,0.0027015972435557277,-0.0003445844153035215
8.5,0.0007199030805064075,-0.005991401732704436
9.0,-0.024822263811270905,-0.014926621024193143
9.499999999999998,-0.05819813373901276,-0.020100310686408378
10.0,-0.09863340148922047,-0.02899458876755896
10.5,-0.1643862958510079,-0.04827864386301531
11.0,-0.3021216357489303,-0.10660422894954695
11.499999999999998,-0.5821551207877472,-0.07808754161704007
12.0,-0.6108979816400006,-0.008730029761062085
12.5,-0.5693144407906646,-0.06973022879672496
13.0,-0.47837345054370806,0.041066495300088206
13.5,-0.5907160152633123,0.012461658642334679
14.0,-0.5931856605111929,0.0013502095817932754
14.500000000000002,-0.5934538571582372,-0.0004287251336584705
14.999999999999998,-0.5936477308369644,-0.0002070862546070655
15.5,-0.5937294797725692,1.9053687731551356e-05
16.0,-0.5937330556373999,0.00015015963335755395
16.5,-0.5940615446421724,-0.00012000921423238529
17.0,-0.5939456735122615,-0.00011908825962410612
17.5,-0.5934977951998012,0.0007879261522614419
18.0,-0.5939174841114908,0.0035329033932882175
18.5,-0.5658788554767475,0.07075390324558281
18.999999999999996,-0.33487009645389315,0.08074403083712006
19.5,-0.24619780387986312,0.020853954480701722
20.0,-0.24005845160326497,-0.01586598604203549
20.499999999999996,-0.29358147337027585,-0.06024001999534802
21.0,-0.46835414712492013,-0.14201914885136394
21.5,-0.8527787302582076,-0.11359885669143241
22.0,-0.8906890795546671,-0.009186587658537363
22.5,-0.8922513577881575,-0.0014269862197894912
22.999999999999996,-0.8929593436594933,-0.00023014162032870757
23.5,-0.8929136098255467,-6.143259576754945e-05
24.0,-0.8928817478480487,-0.0008731915658508301
24.5,-0.8931917523369388,-0.001273952463200482
25.0,-0.8887746953847573,-0.018640914791185542
25.499999999999996,-0.7370236731152183,-0.11721247975568695
26.0,-0.7574705365589482,0.09811777061205103
26.5,-0.8478189835075425,0.00926668801732786
27.0,-0.848989501066342,0.0007707479634458923
