theta_deg,Br_T,Bt_T
0.0,0.024460933504863943,-0.08809119052791042
0.5,-0.013584662857896996,-0.0808656008134518
1.0,-0.041773814682562374,-0.031195020167140992
1.5,-0.019705524999158577,-0.0095007940610376
2.0,-0.007313358325724901,-0.00564958451143668
2.5,0.0019280283953941521,-0.004394267538443287
3.0,0.008823143980151802,-0.0011536478525257662
3.5,0.008912099258834868,-0.0003320130413817436
4.0,0.008761512522659004,-0.006249123613480096
4.5,-0.028884980261488443,-0.02912251345171351
5.0,-0.09510730577794022,-0.044899055447740005
5.5,-0.2221787006179591,-0.08423891904794943
6.0,-0.4000751614413139,-0.03865240320380652
6.5,-0.40846674290915413,-0.0014886425853736784
7.0,-0.4084078209723193,-0.00013238482535353078
7.499999999999999,-0.4085632991829707,-0.00010450247145611931
8.0,-0.4083956611274131,0.00013862017803802556
8.5,-0.40861067505124005,0.0008080329191952119
9.0,-0.40006115799190206,0.026617384365221552
9.499999999999998,-0.29602936418571696,0.027005443528495505
10.0,-0.29367755510087806,-0.12232162453011579
10.5,-0.22362534344484392,-0.23057961384424838
11.0,-0.25851609882995985,-0.09323393301672811
11.499999999999998,-0.180663108970786,-0.030725595323773117
12.0,-0.1480359970247559,-0.012695410695550564
12.5,-0.1312628155123092,-0.006027227548105425
13.0,-0.12921931611765625,0.00206981073994981
13.5,-0.1396722053649065,0.010662026966485267
14.0,-0.1672893435784167,0.035656532096604354
14.500000000000002,-0.15426235864980986,0.06915822990341998
14.999999999999998,-0.21798270040928378,0.059152094865598207
15.5,-0.5267768871046589,0.028949863634808917
16.0,-0.9991595563478174,-0.04289705901607498
16.5,-1.0156016800961714,-0.0019062120517234933
17.0,-1.0157622031296245,-0.0009863668186618933
17.5,-1.015959905982258,0.00016526054534813135
18.0,-1.0157045898170236,0.00040076636037175424
18.5,-1.0154448415937793,0.0037387514163081154
18.999999999999996,-1.001526223261352,0.07303060792937821
19.5,-0.6561412030115243,0.1339226404929604
20.0,-0.566733241866975,-0.026074162667926358
20.499999999999996,-0.7690140195521932,-0.20229859817397555
21.0,-1.2175639328288808,-0.08838049879453111
21.5,-1.2272437200288013,-0.004976398449567214
22.0,-1.23033799655559,-0.0020695327633683423
22.5,-1.2272297132804602,-0.019095534332567922
22.999999999999996,-1.0181537396316132,-0.25422811994898875
23.5,-0.5332990767928698,-0.1331689245725921
24.0,-0.3505080982869643,-0.037661874194766
24.5,-0.1992799993968701,-0.009999194207236845
25.0,-0.16912044455899586,-0.06438575631918689
25.499999999999996,-0.20644467375084818,-0.11310055244323153
26.0,-0.30686918811605346,-0.04870580279804752
26.5,-0.3009121944110162,0.0052830342059223484
27.0,-0.33374111311814825,0.029656454845436483
27.5,-0.43116010537583876,0.08102460174198418
28.0,-0.6691688546635678,0.18754879510392536
28.5,-1.3004561187910686,0.24928663329020478
29.000000000000004,-1.399791281777924,0.117477101079989
29.499999999999996,-0.9121755189288051,0.20402875635943862
29.999999999999996,-0.7272620182642198,0.00932901983215149
