theta_deg,Br_T,Bt_T
0.0,0.1235294129988666,-0.042891240998671275
0.5,0.11947300934141694,-0.04294244503390919
1.0,0.18060538097521933,-0.04334103865220674
1.5,0.43169284131226554,-0.013621966718943451
2.0,0.46020487899060997,-0.0013046480354750973
2.5,0.46063713573455367,-0.0001208520216356484
3.0,0.45996369949252885,-0.0035115139186993748
3.5,0.43437567209415895,-0.056749447857551996
4.0,0.2354076339385584,-0.0787967783805496
4.5,0.13076897648766903,-0.036678996595314206
5.0,0.07847233875189363,-0.010744538766337955
5.5,0.02985180282645761,-0.015309855434585141
6.0,0.008760459124152279,-0.019777494127739503
6.5,-0.005738201082277398,-0.010427752302173398
7.0,-0.00224121506174079,-0.002742196573160267
7.499999999999999,0.0009005132316606241,-0.0016730453614246642
8.0,0.0033374087985026573,-0.0007630045920043863
8.5,0.001628031020357018,-0.004797575379354527
9.0,-0.01742602354666929,-0.011993495438486863
9.499999999999998,-0.04392309895828638,-0.014328230028838753
10.0,-0.07770555412955579,-0.024634713545665682
10.5,-0.12938710360809372,-0.04515084961750786
11.0,-0.23921037942556445,-0.08857701333072035
11.499999999999998,-0.38215204767224725,-0.14646247448811153
12.0,-0.22221369936493937,-0.06037917004046536
12.5,-0.17083818025960545,-0.016142086033516738
13.0,-0.1632867629654207,0.011855490962396967
13.5,-0.19428308513823817,0.07953850244252554
14.0,-0.1847079791077339,0.13653862277488893
14.500000000000002,-0.23488895378164276,0.038320864226447454
14.999999999999998,-0.2353888482699451,-0.017507415317632693
15.5,-0.30416866592261116,-0.057009901963265344
16.0,-0.4751786894705441,-0.14387094051966248
16.5,-0.8700360999843605,-0.11803757307858354
17.0,-0.9180212257628652,-0.009785824159711947
17.5,-0.9181219842762344,-0.02144144032679561
18.0,-0.7404235105387328,-0.16308925676757968
18.5,-0.4436003871009148,-0.0017224940986129498
18.999999999999996,-0.23512066044652064,0.08508182968630279
19.5,-0.1800987621000221,0.07148380483065583
20.0,-0.20609195221111662,0.08058589190843002
20.499999999999996,-0.3594801140806963,0.10178904349951617
21.0,-0.6459573495209439,-0.1238860681557039
21.5,-1.0641395998186305,-0.1338926012841084
22.0,-1.1182685612082355,-0.007619255876090247
22.5,-1.12033587934215,0.00040940111555901374
22.999999999999996,-1.1190109698786699,0.006161727123395494
23.5,-1.0792368332647382,0.1280901882466897
24.0,-0.6653944418449932,0.09668703183498746
24.5,-0.38821832694856434,-0.15156199589782762
25.0,-0.24334958463497192,-0.14160324557177856
25.499999999999996,-0.23929424978042796,-0.13533476112260642
26.0,-0.33940184990633626,-0.1563115999195291
26.5,-0.665079523946021,-0.03301846147133637
27.0,-1.0679982906259127,0.26373847621361657
27.5,-1.3239854605414503,0.034364974262829695
28.0,-1.3344928359103183,0.010641880402520473
28.5,-1.263190423617539,0.16337559471655685
29.000000000000004,-0.7352763106205162,0.18678191519784132
29.499999999999996,-0.5337464402154335,0.05579442988504848
29.999999999999996,-0.5087123031982551,-0.02848440260622073
30.5,-0.6361748009477929,-0.18191940803872828
31.0,-0.5595801325986988,-0.5121008340710022
31.5,-0.6837749863360958,-0.29992312172560054
32.0,-0.5626672346198679,-0.056224397777734136
32.5,-0.5685308824382131,0.05244434387079748
33.0,-0.7493067169745636,0.19697107993110452
33.49999999999999,-1.2857399801827523,0.47480341879372373
34.0,-0.8765883177394387,0.24900620666399345
34.5,-0.5917479912228882,0.07821858539398022
35.0,-0.5410029327471283,-0.0024684562894728415
35.5,-0.6176554103579347,-0.0820235105847663
36.0,-0.8867743721516311,-0.23623124762867076
36.5,-1.5712095914290247,-0.21492645644528346
37.0,-1.6239909303949707,-0.14653552303430534
37.5,-0.988643049566288,-0.2928733697047096
37.99999999999999,-0.692393578919567,-0.054486191231441355
38.5,-0.632616252405768,0.1662367957788342
39.0,-0.38564376190995564,0.32579228726331294
39.5,-0.358174005929847,0.32242272466973415
40.0,-0.5952503335917808,0.2221630580237297
40.5,-0.6074487888824411,-0.027517038236989175
40.99999999999999,-0.7899968981740785,-0.21154736790109774
41.5,-1.3575979731521814,-0.17266997365420703
42.0,-1.4274633984976726,-0.009897556129047724
