theta_deg,Br_T,Bt_T
0.0,0.08540116824645326,-0.06452195799918392
0.5,0.07285293750498438,-0.04916997508915691
1.0,0.074638253527117,-0.02966943310163651
1.5,0.11689146383416675,-0.018833234258008917
2.0,0.175579494919067,-0.04592765588751073
2.5,0.31256410222169273,-0.10576731796650911
3.0,0.5034727461274758,-0.037394744807491054
3.5,0.47616136401628795,-0.06395583753608972
4.0,0.25863799809090005,-0.08523341476557776
4.5,0.14130416374470087,-0.04273156078537622
5.0,0.08548241306875165,-0.023624726385915687
5.5,0.04840560273200105,-0.015971737670896376
6.0,0.01967147256782049,-0.01252467558145813
6.5,0.0004043188387465922,-0.004478400604748274
7.0,-0.0010772279825617776,-0.00023515354675384106
7.499999999999999,-0.001073271774626871,-5.345014143269746e-05
8.0,-0.0010645561097298731,-0.00027383334441694035
8.5,-0.0025559791086675007,-0.005360605159525345
9.0,-0.02589184345552145,-0.01602894785032788
9.499999999999998,-0.061889116696928224,-0.025582648948360154
10.0,-0.11243318116599013,-0.07446518919002264
10.5,-0.07959770382303342,-0.12404730615687114
11.0,-0.09497975022448157,-0.12821294094422794
11.499999999999998,-0.15318305147554037,-0.0744382954630973
12.0,-0.1221699908183239,-0.018364509349184842
12.5,-0.10604745598173573,-0.005318992739815436
13.0,-0.10363509998525015,0.004540320976919234
13.5,-0.11058190486349284,0.027609848436137088
14.0,-0.08823882873341946,0.04162612497611991
14.500000000000002,-0.10049627896396969,0.03569180661244924
14.999999999999998,-0.14882844429787723,0.04916317034583818
15.5,-0.3112025202257133,0.05943600434310167
16.0,-0.5438876961372894,-0.12493369833066206
16.5,-0.9393975734934605,-0.12081074125606
17.0,-0.9838365101985789,-0.006620609861985072
17.5,-0.9869498661565382,-0.00038394338322803197
18.0,-0.9850216617360673,0.006031919011846545
18.5,-0.9432127389271104,0.12093760789662587
18.999999999999996,-0.5541094004399212,0.14124601622093788
19.5,-0.3925393395064106,0.035684959513167594
20.0,-0.37380837463801686,-0.010441108046378303
20.499999999999996,-0.44210487608879884,-0.06787539934032652
21.0,-0.6722542789160507,-0.1904570493012212
21.5,-1.1902327838863123,-0.16753821476413197
22.0,-1.2450429548819946,-0.009818326122911282
22.5,-1.2505650906147838,-0.022807742485169324
22.999999999999996,-1.06469384056254,-0.24122944178810382
23.5,-0.5720415438781752,-0.07451741603677435
24.0,-0.272434127155265,0.006812841671009733
24.5,-0.18610038935507187,-0.032475973625858454
25.0,-0.16149542802006003,-0.06290286250050978
25.499999999999996,-0.16948278567336622,-0.0950822492110134
26.0,-0.21842770916565857,-0.13074489646515747
26.5,-0.36839973849643654,-0.08031524909619078
27.0,-0.3903833500511571,0.020417697461510453
27.5,-0.47852393334098225,0.08354065835049232
28.0,-0.7134512601077512,0.22546790041874537
28.5,-1.2874481025177,0.4492884969367948
29.000000000000004,-0.8329706365973095,0.23347852177693965
29.499999999999996,-0.582354574160331,0.06786839736108324
29.999999999999996,-0.5158628170120705,-0.003020962364552066
30.5,-0.5877983760471098,-0.07220291962885418
31.0,-0.8487766237563251,-0.22772738800617576
31.5,-1.4983729205925214,-0.20408898216848256
32.0,-1.5720086353442935,-0.011645380155250035
